"SurveyCity","PointID","Survey1","Survey2","Survey3","Survey4","Latitude","Longitude","Survey1Count","Survey2Count","Survey3Count","Survey4Count"
"Dakar","Dakar_14","Corvusalbus, Criniferpiscator, Passerdomesticus, Psittaculakrameri, Pycnonotusbarbatus, Streptopeliasenegalensis, Urocoliusmacrourus","Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis, Streptopeliavinacea, Upupoepops, Uraeginthusbengalus","Passerdomesticus","Passerdomesticus",14.7223904,-17.4716289,7,7,1,1
"Dakar","Dakar_15","Corvusalbus, Passerdomesticus, Streptopeliasenegalensis, Urocoliusmacrourus","Criniferpiscator, Laniariusbarbarus, Meleagrisgallopavo, Passerdomesticus, Pycnonotusbarbatus, Uraeginthusbengalus, Uraginthusbengala","Passerdomesticus, Pycnonotusbarbatus","Numidameleagris, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis",14.715208,-17.4523594,4,7,2,4
"Dakar","Dakar_16","Corvusalbus, Passerdomesticus","Passerdomesticus","Corvusalbus, Lagonostictasenegala, Passerdomesticus, Pycnonotusbarbatus","Passerdomesticus",14.7146019,-17.4443191,2,1,4,1
"Dakar","Dakar_17","Corvusalbus, Passerdomesticus","Criniferpiscator, Lybiusdubius, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis, Streptopeliavinacea","Lybiusdubius, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis","Passerdomesticus, Pycnonotusbarbatus, Streptopelia.decipiens, Streptopeliasenegalensis",14.7251429,-17.4537021,2,7,4,4
"Dakar","Dakar_18","Corvusalbus, Passerdomesticus","Corvusalbus, Numidameleagris, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis","Corvusalbus, Passerdomesticus, Ploceusmelanocephalus, Psittaculakrameri, Pycnonotusbarbatus","Passerdomesticus",14.735214,-17.4520371,2,6,5,1
"Dakar","Dakar_19","Passerdomesticus","Passerdomesticus, Pycnonotusbarbatus","Corvusalbus, Criniferpiscator, Passerdomesticus, Psittaculakrameri, Pycnonotusbarbatus, Streptopeliasenegalensis, Urocoliusmacrourus","Passerdomesticus, Pycnonotusbarbatus, Streptopelia.decipiens, Streptopeliasenegalensis, Streptopeliavinacea, Upupoepops",14.733056,-17.4401019,1,2,7,6
"Dakar","Dakar_20","Camaropterabrachyura, Passerdomesticus, Ploceuscuculatus, Ploceusmelanocephalus, Pogoniuluschrysoconus, Psittaculakrameri, Pycnonotusbarbatus, Streptopeliasenegalensis","Passerdomesticus, Ploceusluteolus, Pycnonotusbarbatus, Streptopeliasenegalensis","Corvusalbus, Passerdomesticus, Streptopeliasenegalensis, Urocoliusmacrourus","Passerdomesticus",14.7255516,-17.4334804,8,4,4,1
"Dakar","Dakar_21","Corvusalbus, Passerdomesticus","Corvusalbus, Milvusmigrans, Passerdomesticus, Pycnonotusbarbatus","Lagonostictasenegala, Meropspusillus, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus","Corvusalbus, Meropspusillus, Passerdomesticus, Poicephalussenegalus, Psittaculakrameri, Pycnonotusbarbatus",14.7390198,-17.4447222,2,4,5,6
"Dakar","Dakar_22","Corvusalbus, Passerdomesticus, Ploceusmelanocephalus","Passerdomesticus","Passerdomesticus","Criniferpiscator, Lybiusdubius, Passerdomesticus, Pycnonotusbarbatus, Streptopelia.decipiens, Streptopeliasenegalensis",14.7507601,-17.4479076,3,1,1,6
"Dakar","Dakar_23","Corvusalbus, Passerdomesticus, Pycnonotusbarbatus","Passerdomesticus","Corvusalbus, Lybiusdubius, Passerdomesticus, Ploceusluteolus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopelia.decipiens, Streptopeliasenegalensis, Uraeginthusbengalus, Uraginthusbengala","Passerdomesticus, Pycnonotusbarbatus",14.7510017,-17.4605546,3,1,10,2
"Dakar","Dakar_24","Corvusalbus, Lagonostictasenegala, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus","Passerdomesticus","Corvusalbus, Passerdomesticus","Criniferpiscator, Laniariusbarbarus, Meleagrisgallopavo, Passerdomesticus, Priniasubflava, Pycnonotusbarbatus",14.7572269,-17.4499674,5,1,2,6
"Dakar","Dakar_25","Passerdomesticus","Milvusmigrans, Passerdomesticus","Lagonostictasenegala, Lonchuracantans, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus","Corvusalbus, Milvusmigrans, Passerdomesticus, Pycnonotusbarbatus",14.7623451,-17.4359204,1,2,5,4
"Dakar","Dakar_26","Corvusalbus, Passerdomesticus, Psittarochebranneri, Pycnonotusbarbatus, Streptopeliasenegalensis","Milvusmigrans, Passerdomesticus","Lonchuracantans, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus","Passerdomesticus, Poicephalussenegalus, Pycnonotusbarbatus",14.7304596,-17.4698794,5,2,4,3
"Dakar","Dakar_27","Corvusalbus, Passerdomesticus, Ploceusmelanocephalus","Passerdomesticus","Corvusalbus, Passerdomesticus","Meleagrisgallopavo, Numidameleagris, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis",14.738262,-17.4646331,3,1,2,5
"Dakar","Dakar_28","Burhunussenegalensis, Corvusalbus, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis","Passerdomesticus, Uraeginthusbengalus","Lagonostictasenegala, Laniariusbarbarus, Passerdomesticus, Ploceusluteolus, Ploceusmelanocephalus, Pycnonotusbarbatus, Uraginthusbengala, Vanellusspinosus","Corvusalbus, Passerdomesticus, Pycnonotusbarbatus",14.7409794,-17.4753204,5,2,8,3
"Dakar","Dakar_29","Corvusalbus, Passerdomesticus, Ploceusmelanocephalus, Psittaculakrameri, Pycnonotusbarbatus","Passerdomesticus","Passerdomesticus","Corvusalbus, Meleagrisgallopavo, Numidameleagris, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis",14.7529012,-17.4675469,5,1,1,7
"Dakar","Dakar_30","Corvusalbus, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis","Corvusalbus, Lamprotorniscaudatus, Passerdomesticus, Ploceuscuculatus, Ploceusluteolus, Pycnonotusbarbatus, Urocoliusmacrourus","Lonchuracantans, Lybiusdubius, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis","Corvusalbus, Passerdomesticus, Ploceusmelanocephalus",14.758347,-17.4793099,4,7,6,3
"Dakar","Dakar_31","Lybiusdubius, Passerdomesticus, Ploceuscuculatus, Ploceusluteolus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis","Passerdomesticus, Pycnonotusbarbatus","Camaropterabrachyura, Passerdomesticus, Ploceusluteolus, Ploceusmelanocephalus, Pogoniuluschrysoconus, Psittaculakrameri, Pycnonotusbarbatus, Streptopeliasenegalensis","Corvusalbus, Milvusmigrans, Passerdomesticus, Pycnonotusbarbatus",14.7391901,-17.5069602,7,2,8,4
"Dakar","Dakar_32","Passerdomesticus, Pycnonotusbarbatus","Passerdomesticus, Streptopeliasenegalensis","Corvusalbus, Passerdomesticus","Corvusalbus, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis",14.7431407,-17.5188049,2,2,2,4
"Dakar","Dakar_33","Columbaguinea, Numidameleagris, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis","Passerdomesticus","Lagonostictasenegala, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopelia.decipiens, Streptopeliasenegalensis, Uraeginthusbengalus","Passerdomesticus, Pycnonotusbarbatus",14.753905,-17.494169,6,1,7,2
"Dakar","Dakar_34","Passerdomesticus, Pogoniuluschrysoconus, Pycnonotusbarbatus, Streptopeliasenegalensis","Passerdomesticus","Columbaguinea, Lonchuracantans, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopelia.decipiens, Streptopeliasenegalensis, Uraeginthusbengalus","Columbaguinea, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis",14.7475788,-17.5105114,4,1,8,5
"Dakar","Dakar_35","Corvusalbus, Passerdomesticus, Pycnonotusbarbatus, Urocoliusmacrourus","Corvusalbus, Lamprotorniscaudatus, Meropspusillus, Passerdomesticus, Poicephalussenegalus, Psittaculakrameri, Pycnonotusbarbatus","Corvusalbus, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis","Passerdomesticus",14.7532049,-17.4851476,4,7,5,1
"Dakar","Dakar_36","Centropussenegalensis, Cisticolajuncidis, Corvusalbus, Lamprotorniscaudatus, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis, Urocoliusmacrourus","Corvusalbus, Milvusmigrans, Passerdomesticus, Pycnonotusbarbatus","Lybiusdubius, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Upupoepops, Uraginthusbengala","Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis, Tchagrasenegalus",14.737316,-17.4890894,8,4,6,4
"Dakar","Dakar_37","Corvusalbus, Passerdomesticus, Streptopeliasenegalensis, Uraginthusbengala","Passerdomesticus, Poicephalussenegalus, Pycnonotusbarbatus","Corvusalbus, Passerdomesticus, Ploceusmelanocephalus","Corvusalbus, Passerdomesticus, Pycnonotusbarbatus, Urocoliusmacrourus",14.7342894,-17.4974719,4,3,3,4
"Dakar","Dakar_38","Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis, Tchagrasenegalus","Passerdomesticus","Passerdomesticus, Uraginthusbengala","Columbaguinea, Corvusalbus, Milvusmigrans, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis",14.7248991,-17.496354,4,1,2,7
"Dakar","Dakar_39","Columbaguinea, Corvusalbus, Milvusmigrans, Numidameleagris, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis","Passerdomesticus","Passerdomesticus","Corvusalbus, Passerdomesticus, Streptopeliasenegalensis, Uraeginthusbengalus",14.7213994,-17.4879428,7,1,1,4
"Dakar","Dakar_40","Corvusalbus, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis, Vanellusspinosus","Passerdomesticus","Passerdomesticus","Milvusmigrans, Passerdomesticus",14.7132701,-17.4773197,5,1,1,2
"Toronto","Toronto_01","Cardinaliscardinalis, Corvusbrachyrhynchos, Passerdomesticus, Spizellapasserina, Sturnusvulgaris, Turdusmigratorius","N/A","N/A","N/A",43.707516,-79.4115075,6,1,1,1
"Toronto","Toronto_01","Cardinaliscardinalis, Corvusbrachyrhynchos, Passerdomesticus, Spizellapasserina, Sturnusvulgaris, Turdusmigratorius","N/A","N/A","N/A",43.7075545,-79.4197733,6,1,1,1
"Toronto","Toronto_01","Cardinaliscardinalis, Corvusbrachyrhynchos, Passerdomesticus, Spizellapasserina, Sturnusvulgaris, Turdusmigratorius","N/A","N/A","N/A",43.7075669,-79.4195766,6,1,1,1
"Toronto","Toronto_01","Cardinaliscardinalis, Corvusbrachyrhynchos, Passerdomesticus, Spizellapasserina, Sturnusvulgaris, Turdusmigratorius","N/A","N/A","N/A",43.7076068,-79.4194495,6,1,1,1
"Toronto","Toronto_01","N/A","Cardinaliscardinalis, Corvusbrachyrhynchos, Larusdelawarensis, Molothrusater, Passerdomesticus, Spinustristus, Turdusmigratorius","N/A","N/A",43.707516,-79.4115075,1,7,1,1
"Toronto","Toronto_01","N/A","Cardinaliscardinalis, Corvusbrachyrhynchos, Larusdelawarensis, Molothrusater, Passerdomesticus, Spinustristus, Turdusmigratorius","N/A","N/A",43.7075545,-79.4197733,1,7,1,1
"Toronto","Toronto_01","N/A","Cardinaliscardinalis, Corvusbrachyrhynchos, Larusdelawarensis, Molothrusater, Passerdomesticus, Spinustristus, Turdusmigratorius","N/A","N/A",43.7075669,-79.4195766,1,7,1,1
"Toronto","Toronto_01","N/A","Cardinaliscardinalis, Corvusbrachyrhynchos, Larusdelawarensis, Molothrusater, Passerdomesticus, Spinustristus, Turdusmigratorius","N/A","N/A",43.7076068,-79.4194495,1,7,1,1
"Toronto","Toronto_01","N/A","N/A","Cardinaliscardinalis, Larusargentatus, Molothrusater, Passerdomesticus, Spizellapasserina, Turdusmigratorius","N/A",43.707516,-79.4115075,1,1,6,1
"Toronto","Toronto_01","N/A","N/A","Cardinaliscardinalis, Larusargentatus, Molothrusater, Passerdomesticus, Spizellapasserina, Turdusmigratorius","N/A",43.7075545,-79.4197733,1,1,6,1
"Toronto","Toronto_01","N/A","N/A","Cardinaliscardinalis, Larusargentatus, Molothrusater, Passerdomesticus, Spizellapasserina, Turdusmigratorius","N/A",43.7075669,-79.4195766,1,1,6,1
"Toronto","Toronto_01","N/A","N/A","Cardinaliscardinalis, Larusargentatus, Molothrusater, Passerdomesticus, Spizellapasserina, Turdusmigratorius","N/A",43.7076068,-79.4194495,1,1,6,1
"Toronto","Toronto_01","N/A","N/A","N/A","Cardinaliscardinalis, Chaeturapelagica, Passerdomesticus, Poecileatricapillus, Sittacanadensis, Turdusmigratorius, Vireoolivaceus",43.707516,-79.4115075,1,1,1,7
"Toronto","Toronto_01","N/A","N/A","N/A","Cardinaliscardinalis, Chaeturapelagica, Passerdomesticus, Poecileatricapillus, Sittacanadensis, Turdusmigratorius, Vireoolivaceus",43.7075545,-79.4197733,1,1,1,7
"Toronto","Toronto_01","N/A","N/A","N/A","Cardinaliscardinalis, Chaeturapelagica, Passerdomesticus, Poecileatricapillus, Sittacanadensis, Turdusmigratorius, Vireoolivaceus",43.7075669,-79.4195766,1,1,1,7
"Toronto","Toronto_01","N/A","N/A","N/A","Cardinaliscardinalis, Chaeturapelagica, Passerdomesticus, Poecileatricapillus, Sittacanadensis, Turdusmigratorius, Vireoolivaceus",43.7076068,-79.4194495,1,1,1,7
